name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,enrollment
Aaniiih Nakoda College,Montana,MT,Public,2 Year,,2380,2380,2380,2380,,,,,,,727.0
Abilene Christian University,Texas,TX,Private,4 Year,10350.0,34850,45200,34850,45200,,,,,,,8201.0
Abraham Baldwin Agricultural College,Georgia,GA,Public,2 Year,8474.0,4128,12602,12550,21024,,,,,,,5960.0
Academy College,Minnesota,MN,For Profit,2 Year,,17661,17661,17661,17661,,,,,,,190.0
Academy of Art University,California,CA,For Profit,4 Year,16648.0,27810,44458,27810,44458,,,,,,,27958.0
Adams State University,Colorado,CO,Public,4 Year,8782.0,9440,18222,20456,29238,16.0,Colorado,44400.0,81400.0,56.0,3.0,6095.0
Adelphi University,New York,NY,Private,4 Year,16030.0,38660,54690,38660,54690,,,,,,,15720.0
Adirondack Community College,New York,NY,Public,2 Year,11660.0,5375,17035,9935,21595,,,,,,,7079.0
Adrian College,Michigan,MI,Private,4 Year,11318.0,37087,48405,37087,48405,,,,,,,2728.0
Advanced Technology Institute,Virginia,VA,For Profit,2 Year,,13680,13680,13680,13680,,,,,,,1089.0
Adventist University of Health Sciences,Florida,FL,Private,4 Year,4200.0,15150,19350,15150,19350,14.0,Florida,51600.0,89800.0,88.0,5.0,
Agnes Scott College,Georgia,GA,Private,4 Year,12330.0,41160,53490,41160,53490,14.0,Georgia,46000.0,83600.0,57.0,26.0,2202.0
Aiken Technical College,South Carolina,SC,Public,2 Year,,5160,5160,8010,8010,,,,,,,4740.0
Aims Community College,Colorado,CO,Public,2 Year,,2281,2281,13018,13018,,,,,,,9816.0
Alabama Agricultural and Mechanical University,Alabama,AL,Public,4 Year,8379.0,9698,18077,17918,26297,,,,,,,
Alabama Southern Community College,Alabama,AL,Public,2 Year,,4440,4440,8880,8880,,,,,,,2896.0
Alabama State University,Alabama,AL,Public,4 Year,5422.0,11068,16490,19396,24818,20.0,Alabama,39800.0,71500.0,61.0,16.0,14054.0
Alamance Community College,North Carolina,NC,Public,2 Year,,2310,2310,8070,8070,,,,,,,8875.0
Alaska Bible College,Alaska,AK,Private,4 Year,5700.0,9300,15000,9300,15000,,,,,,,76.0
Alaska Pacific University,Alaska,AK,Private,4 Year,7300.0,20830,28130,20830,28130,3.0,Alaska,50300.0,90000.0,67.0,6.0,1133.0
Albany College of Pharmacy and Health Sciences,New York,NY,Private,4 Year,10920.0,35105,46025,35105,46025,1.0,New-York,81000.0,144800.0,82.0,2.0,2867.0
Albany State University,Georgia,GA,Public,4 Year,8878.0,6726,15604,19802,28680,,,,,,,10142.0
Albany Technical College,Georgia,GA,Public,2 Year,,3246,3246,5916,5916,,,,,,,8960.0
Albertus Magnus College,Connecticut,CT,Private,4 Year,13200.0,32060,45260,32060,45260,18.0,Connecticut,49700.0,85900.0,62.0,2.0,3348.0
Albion College,Michigan,MI,Private,4 Year,12380.0,45775,58155,45775,58155,7.0,Michigan,52100.0,99300.0,44.0,23.0,2052.0
Albright College,Pennsylvania,PA,Private,4 Year,12070.0,45306,57376,45306,57376,,,,,,,4499.0
Alcorn State University,Mississippi,MS,Public,4 Year,9608.0,7144,16752,7144,16752,10.0,Mississippi,40900.0,69500.0,67.0,19.0,9513.0
Alderson-Broaddus University,West Virginia,WV,Private,4 Year,8860.0,27910,36770,27910,36770,,,,,,,
Alexandria Technical and Community College,Minnesota,MN,Public,2 Year,,5416,5416,5416,5416,,,,,,,4051.0
Alfred University,New York,NY,Private,4 Year,12516.0,33484,46000,33484,46000,,,,,,,3956.0
Allan Hancock College,California,CA,Public,2 Year,,1418,1418,7898,7898,,,,,,,23815.0
Allegany College of Maryland,Maryland,MD,Public,2 Year,,4140,4140,9210,9210,,,,,,,5885.0
Allegheny College,Pennsylvania,PA,Private,4 Year,12140.0,47540,59680,47540,59680,,,,,,,3483.0
Allegheny Wesleyan College,Ohio,OH,Private,4 Year,4000.0,6400,10400,6400,10400,,,,,,,100.0
Allen College,Iowa,IA,Private,4 Year,7282.0,19970,27252,19970,27252,5.0,Iowa,51600.0,91300.0,,0.0,1128.0
Allen County Community College,Kansas,KS,Public,2 Year,5070.0,3150,8220,3150,8220,,,,,,,4767.0
Allen University,South Carolina,SC,Private,4 Year,7230.0,13340,20570,13340,20570,,,,,,,1688.0
Alliant International University,California,CA,Private,4 Year,,18000,18000,18000,18000,,,,,,,
Alma College,Michigan,MI,Private,4 Year,10998.0,40258,51256,40258,51256,15.0,Michigan,48400.0,89900.0,52.0,15.0,2324.0
Alpena Community College,Michigan,MI,Public,2 Year,,4530,4530,6840,6840,,,,,,,2583.0
Alvernia University,Pennsylvania,PA,Private,4 Year,,34885,34885,34885,34885,,,,,,,5694.0
Alverno College,Wisconsin,WI,Private,4 Year,8546.0,28302,36848,28302,36848,,,,,,,5702.0
Alvin Community College,Texas,TX,Public,2 Year,,1998,1998,4818,4818,,,,,,,9846.0
Amarillo College,Texas,TX,Public,2 Year,,2670,2670,5880,5880,,,,,,,21593.0
Amberton University,Texas,TX,Private,4 Year,,12840,12840,12840,12840,24.0,Texas,52800.0,93600.0,57.0,0.0,
American Academy McAllister Institute of Funeral Service,New York,NY,Private,2 Year,,17160,17160,17160,17160,,,,,,,850.0
American Academy of Art,Illinois,IL,Private,4 Year,,34100,34100,34100,34100,,,,,,,739.0
American Academy of Dramatic Arts,New York,NY,Private,2 Year,17955.0,35160,53115,35160,53115,,,,,,,
American Academy of Dramatic Arts: West,California,CA,Private,2 Year,13255.0,35160,48415,35160,48415,,,,,,,
American Baptist College,Tennessee,TN,Private,4 Year,8640.0,10950,19590,10950,19590,,,,,,,358.0
American Indian College of the Assemblies of God,Arizona,AZ,Private,4 Year,6250.0,958,7208,958,7208,,,,,,,225.0
American International College,Massachusetts,MA,Private,4 Year,14300.0,35680,49980,35680,49980,,,,,,,7045.0
American Jewish University,California,CA,Private,4 Year,17362.0,31826,49188,31826,49188,,,,,,,324.0
American National University: Charlottesville,Virginia,VA,For Profit,2 Year,,18735,18735,18735,18735,,,,,,,
American National University: Danville,Virginia,VA,For Profit,2 Year,,18735,18735,18735,18735,,,,,,,
American National University: Harrisonburg,Virginia,VA,For Profit,2 Year,,18735,18735,18735,18735,,,,,,,
American National University: Lynchburg,Virginia,VA,For Profit,2 Year,,18735,18735,18735,18735,,,,,,,
American National University: Martinsville,Virginia,VA,For Profit,2 Year,,18735,18735,18735,18735,,,,,,,
American National University: Salem,Virginia,VA,For Profit,4 Year,,18735,18735,18735,18735,,,,,,,
American  University SystemFor-profit,West Virginia,WV,Public,4 Year,,8150,8150,8150,8150,,,,,,,
American River College,California,CA,Public,2 Year,,1416,1416,9546,9546,,,,,,,59228.0
American Samoa Community College,,AS,Public,2 Year,,3700,3700,3700,3700,,,,,,,
American University,,DC,Private,4 Year,14880.0,48459,63339,48459,63339,,,,,,,
American University of Puerto Rico,,PR,Private,4 Year,,6946,6946,6946,6946,,,,,,,
Amherst College,Massachusetts,MA,Private,4 Year,14740.0,56426,71166,56426,71166,10.0,Massachusetts,63800.0,116500.0,45.0,32.0,3436.0
Amridge University,Alabama,AL,Private,4 Year,,6900,6900,6900,6900,24.0,Alabama,35700.0,65900.0,,0.0,1261.0
Ancilla College,Indiana,IN,Private,2 Year,9600.0,17330,26930,17330,26930,,,,,,,712.0
Anderson University,South Carolina,SC,Private,4 Year,9830.0,28000,37830,28000,37830,,,,,,,
Anderson University,Indiana,IN,Private,4 Year,9890.0,30450,40340,30450,40340,,,,,,,
Andrew College,Georgia,GA,Private,2 Year,10636.0,17388,28024,17388,28024,,,,,,,642.0
Andrews University,Michigan,MI,Private,4 Year,9078.0,29288,38366,29288,38366,21.0,Michigan,47600.0,85000.0,51.0,7.0,6570.0
Angelina College,Texas,TX,Public,2 Year,5500.0,2625,8125,5535,11035,,,,,,,10326.0
Angelo State University,Texas,TX,Public,4 Year,9130.0,8489,17619,20939,30069,,,,,,,12832.0
Anna Maria College,Massachusetts,MA,Private,4 Year,14630.0,37860,52490,37860,52490,,,,,,,2467.0
Anne Arundel Community College,Maryland,MD,Public,2 Year,,4110,4110,12180,12180,,,,,,,29027.0
Anoka Technical College,Minnesota,MN,Public,2 Year,,5584,5584,5584,5584,,,,,,,3935.0
Anoka-Ramsey Community College,Minnesota,MN,Public,2 Year,,5073,5073,5073,5073,,,,,,,14350.0
Antelope Valley College,California,CA,Public,2 Year,,1420,1420,9760,9760,,,,,,,34232.0
Antioch College,Ohio,OH,Private,4 Year,7640.0,35718,43358,35718,43358,,,,,,,
Antioch University Los Angeles,California,CA,Private,4 Year,,20670,20670,20670,20670,,,,,,,
Antioch University Midwest,Ohio,OH,Private,4 Year,,16210,16210,16210,16210,,,,,,,522.0
Antioch University Santa Barbara,California,CA,Private,4 Year,,22575,22575,22575,22575,,,,,,,
Antioch University Seattle,Washington,WA,Private,4 Year,,27435,27435,27435,27435,,,,,,,
Apex School of Theology,North Carolina,NC,Private,4 Year,,6200,6200,6200,6200,,,,,,,2008.0
Appalachian Bible College,West Virginia,WV,Private,4 Year,7960.0,14720,22680,14720,22680,,,,,,,437.0
Appalachian State University,North Carolina,NC,Public,4 Year,8304.0,7214,15518,22021,30325,15.0,North-Carolina,46600.0,82700.0,47.0,9.0,30049.0
Aquinas College,Michigan,MI,Private,4 Year,9332.0,32574,41906,32574,41906,,,,,,,
Aquinas College,Tennessee,TN,Private,4 Year,,23600,23600,23600,23600,,,,,,,
Arapahoe Community College,Colorado,CO,Public,2 Year,,4811,4811,18671,18671,,,,,,,18817.0
Arcadia University,Pennsylvania,PA,Private,4 Year,13800.0,43580,57380,43580,57380,,,,,,,7644.0
Arizona Christian University,Arizona,AZ,Private,4 Year,10674.0,26796,37470,26796,37470,5.0,Arizona,42600.0,76600.0,,7.0,1301.0
Arizona State University,Arizona,AZ,Public,4 Year,12648.0,10822,23470,28336,40984,,,,,,,87680.0
Arizona Western College,Arizona,AZ,Public,2 Year,6700.0,2520,9220,9510,16210,,,,,,,17806.0
Arkansas Baptist College,Arkansas,AR,Private,4 Year,8826.0,8760,17586,8760,17586,,,,,,,2051.0
Arkansas Northeastern College,Arkansas,AR,Public,2 Year,,2450,2450,4250,4250,,,,,,,2874.0
Arkansas State University,Arkansas,AR,Public,4 Year,8160.0,8608,16768,15298,23458,,,,,,,
Arkansas State University Mid-South,Arkansas,AR,Public,2 Year,,3274,3274,5014,5014,,,,,,,
Arkansas State University: Beebe,Arkansas,AR,Public,2 Year,5280.0,3600,8880,5760,11040,,,,,,,
Arkansas State University: Mountain Home,Arkansas,AR,Public,2 Year,,3570,3570,5580,5580,,,,,,,
Arkansas State University: Newport,Arkansas,AR,Public,2 Year,,3480,3480,5310,5310,,,,,,,
Arkansas Tech University,Arkansas,AR,Public,4 Year,7870.0,9068,16938,15848,23718,13.0,Arkansas,45000.0,76900.0,54.0,7.0,20930.0
Arlington Baptist University,Texas,TX,Private,4 Year,6500.0,13190,19690,13190,19690,,,,,,,
Armstrong State University,Georgia,GA,Public,4 Year,11385.0,6384,17769,19866,31251,16.0,Georgia,46600.0,81500.0,60.0,10.0,
Art Academy of Cincinnati,Ohio,OH,Private,4 Year,6700.0,33889,40589,33889,40589,,,,,,,381.0
Art Center College of Design,California,CA,Private,4 Year,,43416,43416,43416,43416,,,,,,,4045.0
Art Institute of Houston,Texas,TX,For Profit,4 Year,9600.0,24024,33624,24024,33624,,,,,,,4082.0
Art Institute of Philadelphia,Pennsylvania,PA,For Profit,4 Year,,14850,14850,14850,14850,,,,,,,3361.0
Art Institute of Phoenix,Arizona,AZ,For Profit,4 Year,10928.0,21645,32573,21645,32573,,,,,,,1963.0
Art Institute of Pittsburgh,Pennsylvania,PA,For Profit,4 Year,2758.0,23376,26134,23376,26134,,,,,,,2303.0
ASA College,New York,NY,For Profit,2 Year,9500.0,14065,23565,14065,23565,,,,,,,
Asbury University,Kentucky,KY,Private,4 Year,7160.0,30198,37358,30198,37358,20.0,Kentucky,39400.0,70800.0,59.0,4.0,3275.0
Asheville-Buncombe Technical Community College,North Carolina,NC,Public,2 Year,,2354,2354,8114,8114,,,,,,,12882.0
Ashford University,California,CA,For Profit,4 Year,,12160,12160,12160,12160,,,,,,,113943.0
Ashland Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000,,,,,,,5462.0
Ashland University,Ohio,OH,Private,4 Year,9941.0,21342,31283,21342,31283,,,,,,,9359.0
Ashworth College,Georgia,GA,For Profit,2 Year,,1399,1399,1399,1399,,,,,,,
Asnuntuck Community College,Connecticut,CT,Public,2 Year,,4404,4404,13170,13170,,,,,,,2801.0
Assumption College,Massachusetts,MA,Private,4 Year,12694.0,40958,53652,40958,53652,,,,,,,4833.0
Assumption College for Sisters,New Jersey,NJ,Private,2 Year,,5888,5888,5888,5888,,,,,,,
Athens State University,Alabama,AL,Public,4 Year,,6810,6810,12870,12870,15.0,Alabama,45000.0,78800.0,51.0,9.0,5755.0
Athens Technical College,Georgia,GA,Public,2 Year,,3292,3292,5962,5962,,,,,,,8430.0
Atlanta Metropolitan State College,Georgia,GA,Public,2 Year,,4008,4008,12088,12088,,,,,,,7851.0
Atlanta Technical College,Georgia,GA,Public,2 Year,,3350,3350,6020,6020,,,,,,,11231.0
Atlantic Cape Community College,New Jersey,NJ,Public,2 Year,,5096,5096,8096,8096,,,,,,,13669.0
Atlantic University College,,PR,Private,4 Year,,4525,4525,4525,4525,,,,,,,
Auburn University,Alabama,AL,Public,4 Year,13332.0,11276,24608,30524,43856,1.0,Alabama,54400.0,104500.0,51.0,31.0,41979.0
Auburn University at Montgomery,Alabama,AL,Public,4 Year,6980.0,10288,17268,22048,29028,13.0,Alabama,45000.0,79600.0,61.0,12.0,10231.0
Augsburg University,Minnesota,MN,Private,4 Year,10280.0,38800,49080,38800,49080,12.0,Minnesota,50500.0,91000.0,52.0,11.0,
Augusta Technical College,Georgia,GA,Public,2 Year,,3494,3494,6164,6164,,,,,,,9104.0
Augusta University,Georgia,GA,Public,4 Year,9640.0,10758,20398,29796,39436,13.0,Georgia,47000.0,84400.0,69.0,10.0,15927.0
Augustana College,Illinois,IL,Private,4 Year,10572.0,42135,52707,42135,52707,,,,,,,
Augustana University,South Dakota,SD,Private,4 Year,8248.0,33018,41266,33018,41266,3.0,South-Dakota,47900.0,88400.0,54.0,18.0,
Aultman College of Nursing and Health Sciences,Ohio,OH,Private,2 Year,,18510,18510,18510,18510,,,,,,,704.0
Aurora University,Illinois,IL,Private,4 Year,11700.0,24260,35960,24260,35960,,,,,,,10128.0
Austin College,Texas,TX,Private,4 Year,12527.0,39985,52512,39985,52512,,,,,,,2513.0
Austin Community College,Texas,TX,Public,2 Year,,2550,2550,13020,13020,,,,,,,82605.0
Austin Graduate School of Theology,Texas,TX,Private,4 Year,,11900,11900,11900,11900,,,,,,,80.0
Austin Peay State University,Tennessee,TN,Public,4 Year,10700.0,8411,19111,24467,35167,20.0,Tennessee,44200.0,78200.0,63.0,10.0,19428.0
Ave Maria University,Florida,FL,Private,4 Year,11436.0,20850,32286,20850,32286,,,,,,,1866.0
Averett University,Virginia,VA,Private,4 Year,9976.0,34400,44376,34400,44376,,,,,,,1618.0
Avila University,Missouri,MO,Private,4 Year,7200.0,19900,27100,19900,27100,17.0,Missouri,45900.0,81200.0,68.0,3.0,3729.0
Azusa Pacific University,California,CA,Private,4 Year,10076.0,38880,48956,38880,48956,,,,,,,21294.0
Babson College,Massachusetts,MA,Private,4 Year,16312.0,51104,67416,51104,67416,4.0,Massachusetts,72000.0,133800.0,37.0,0.0,5055.0
Baker University,Kansas,KS,Private,4 Year,8410.0,29830,38240,29830,38240,10.0,Kansas,47800.0,84200.0,55.0,2.0,5261.0
Bakersfield College,California,CA,Public,2 Year,,1418,1418,7838,7838,,,,,,,43573.0
Baldwin Wallace University,Ohio,OH,Private,4 Year,9554.0,32586,42140,32586,42140,,,,,,,6911.0
Ball State University,Indiana,IN,Public,4 Year,10234.0,9896,20130,26468,36702,22.0,Indiana,45600.0,83700.0,48.0,7.0,35939.0
Baltimore City Community College,Maryland,MD,Public,2 Year,,2893,2893,6973,6973,,,,,,,12848.0
Baptist Bible College,Missouri,MO,Private,4 Year,7500.0,14150,21650,14150,21650,,,,,,,584.0
Baptist College of Florida,Florida,FL,Private,4 Year,4612.0,12300,16912,12300,16912,,,,,,,738.0
Baptist College of Health Sciences,Tennessee,TN,Private,4 Year,2900.0,14700,17600,14700,17600,,,,,,,2782.0
Baptist Missionary Association Theological Seminary,Texas,TX,Private,4 Year,3150.0,6690,9840,6690,9840,,,,,,,198.0
Baptist University of the Americas,Texas,TX,Private,4 Year,2500.0,7800,10300,7800,10300,,,,,,,375.0
Barclay College,Kansas,KS,Private,4 Year,9300.0,19690,28990,19690,28990,,,,,,,417.0
Bard College,New York,NY,Private,4 Year,15488.0,54680,70168,54680,70168,,,,,,,4169.0
Bard College at Simon's Rock,Massachusetts,MA,Private,4 Year,14916.0,55732,70648,55732,70648,,,,,,,593.0
Barnard College,New York,NY,Private,4 Year,17225.0,55032,72257,55032,72257,19.0,New-York,59200.0,109800.0,57.0,19.0,6097.0
Barry University,Florida,FL,Private,4 Year,11100.0,29850,40950,29850,40950,24.0,Florida,47400.0,84400.0,66.0,12.0,18538.0
Barstow Community College,California,CA,Public,2 Year,,1391,1391,9131,9131,,,,,,,4190.0
Barton College,North Carolina,NC,Private,4 Year,10120.0,30880,41000,30880,41000,24.0,North-Carolina,42400.0,77900.0,62.0,6.0,2100.0
Barton County Community College,Kansas,KS,Public,2 Year,5794.0,3440,9234,3440,9234,,,,,,,9477.0
Bastyr University,Washington,WA,Private,4 Year,7590.0,26166,33756,26166,33756,22.0,Washington,48400.0,86300.0,,0.0,2476.0
Bates College,Maine,ME,Private,4 Year,15224.0,53794,69018,53794,69018,3.0,Maine,59500.0,111900.0,50.0,23.0,3030.0
Bates Technical College,Washington,WA,Public,2 Year,,4783,4783,10214,10214,,,,,,,5109.0
Baton Rouge Community College,Louisiana,LA,Public,2 Year,,3981,3981,8059,8059,,,,,,,16169.0
Bay College,Michigan,MI,Public,2 Year,3200.0,4830,8030,8910,12110,,,,,,,
Bay Mills Community College,Michigan,MI,Public,2 Year,,3250,3250,3250,3250,,,,,,,1255.0
Bay Path University,Massachusetts,MA,Private,4 Year,12799.0,34225,47024,34225,47024,,,,,,,
Bay State College,Massachusetts,MA,For Profit,2 Year,13300.0,27750,41050,27750,41050,,,,,,,2383.0
Bayamon Central University,,PR,Private,4 Year,,5775,5775,5775,5775,,,,,,,
Baylor University,Texas,TX,Private,4 Year,12595.0,45727,58322,45727,58322,12.0,Texas,55500.0,101400.0,49.0,16.0,30399.0
Beacon College,Florida,FL,Private,4 Year,11390.0,39016,50406,39016,50406,,,,,,,364.0
Beaufort County Community College,North Carolina,NC,Public,2 Year,,2344,2344,8104,8104,,,,,,,4148.0
Becker College,Massachusetts,MA,Private,4 Year,13800.0,39200,53000,39200,53000,,,,,,,
Beckfield College,Kentucky,KY,For Profit,4 Year,,4000,4000,4000,4000,,,,,,,
Beis Medrash Heichal Dovid,New York,NY,Private,4 Year,4500.0,9500,14000,9500,14000,,,,,,,111.0
Belhaven University,Mississippi,MS,Private,4 Year,8500.0,25300,33800,25300,33800,7.0,Mississippi,41200.0,74300.0,60.0,2.0,9437.0
Bellarmine University,Kentucky,KY,Private,4 Year,12250.0,42200,54450,42200,54450,3.0,Kentucky,49000.0,90700.0,54.0,11.0,6512.0
Bellevue College,Washington,WA,Public,2 Year,,4258,4258,9689,9689,18.0,Washington,50100.0,88500.0,56.0,14.0,25913.0
Bellevue University,Nebraska,NE,Private,4 Year,8730.0,9390,18120,9390,18120,10.0,Nebraska,49400.0,84800.0,57.0,23.0,17481.0
Bellin College,Wisconsin,WI,Private,4 Year,,22178,22178,22178,22178,6.0,Wisconsin,55800.0,97600.0,94.0,0.0,690.0
Bellingham Technical College,Washington,WA,Public,2 Year,,2790,2790,3460,3460,,,,,,,3811.0
Belmont Abbey College,North Carolina,NC,Private,4 Year,10355.0,18500,28855,18500,28855,14.0,North-Carolina,46700.0,82900.0,49.0,7.0,2888.0
Belmont College,Ohio,OH,Public,2 Year,,4973,4973,8070,8070,,,,,,,1796.0
Belmont University,Tennessee,TN,Private,4 Year,12120.0,34310,46430,34310,46430,17.0,Tennessee,47300.0,80900.0,47.0,3.0,12751.0
Beloit College,Wisconsin,WI,Private,4 Year,8830.0,50040,58870,50040,58870,17.0,Wisconsin,47400.0,85700.0,59.0,24.0,2291.0
Bemidji State University,Minnesota,MN,Public,4 Year,8408.0,8696,17104,8696,17104,,,,,,,8301.0
Benedict College,South Carolina,SC,Private,4 Year,6200.0,16600,22800,16600,22800,24.0,South-Carolina,38100.0,67500.0,61.0,19.0,6100.0
Benedictine College,Kansas,KS,Private,4 Year,10300.0,29530,39830,29530,39830,3.0,Kansas,48700.0,91800.0,69.0,13.0,3580.0
Benedictine University,Illinois,IL,Private,4 Year,9480.0,34290,43770,34290,43770,,,,,,,12269.0
Benjamin Franklin Institute of Technology,Massachusetts,MA,Private,2 Year,12400.0,18690,31090,18690,31090,,,,,,,877.0
Bennett College for Women,North Carolina,NC,Private,4 Year,8114.0,18513,26627,18513,26627,,,,,,,
Bennington College,Vermont,VT,Private,4 Year,15610.0,54360,69970,54360,69970,6.0,Vermont,48800.0,90000.0,50.0,5.0,1373.0
Bentley University,Massachusetts,MA,Private,4 Year,16320.0,49880,66200,49880,66200,9.0,Massachusetts,66600.0,116600.0,36.0,7.0,8963.0
Berea College,Kentucky,KY,Private,4 Year,6764.0,39990,46754,39990,46754,19.0,Kentucky,39500.0,71600.0,53.0,27.0,2986.0
Bergen Community College,New Jersey,NJ,Public,2 Year,,5610,5610,10650,10650,,,,,,,29481.0
Bergin University of Canine Studies,California,CA,Private,4 Year,,9450,9450,9450,9450,,,,,,,132.0
Berkeley City College,California,CA,Public,2 Year,,1432,1432,9622,9622,,,,,,,14052.0
Berklee College of Music,Massachusetts,MA,Private,4 Year,18180.0,42750,60930,42750,60930,,,,,,,7558.0
Berkshire Community College,Massachusetts,MA,Public,2 Year,,8569,8569,15589,15589,,,,,,,3992.0
Berry College,Georgia,GA,Private,4 Year,12770.0,36556,49326,36556,49326,12.0,Georgia,44900.0,84900.0,44.0,21.0,3832.0
Beth Hatalmud Rabbinical College,New York,NY,Private,4 Year,,11750,11750,11750,11750,,,,,,,29.0
Beth Medrash Govoha,New Jersey,NJ,Private,4 Year,4172.0,21388,25560,21388,25560,,,,,,,6729.0
Bethany College,Kansas,KS,Private,4 Year,10605.0,28475,39080,28475,39080,,,,,,,
Bethany College,West Virginia,WV,Private,4 Year,10580.0,29773,40353,29773,40353,,,,,,,
Bethany Lutheran College,Minnesota,MN,Private,4 Year,8100.0,27650,35750,27650,35750,,,,,,,860.0
Bethel College,Indiana,IN,Private,4 Year,9000.0,28590,37590,28590,37590,,,,,,,
Bethel College,Kansas,KS,Private,4 Year,8850.0,28780,37630,28780,37630,,,,,,,
Bethel University,Tennessee,TN,Private,4 Year,9198.0,16552,25750,16552,25750,,,,,,,
Bethel University,Minnesota,MN,Private,4 Year,10520.0,37300,47820,37300,47820,,,,,,,
Bethesda University of California,California,CA,Private,4 Year,,8350,8350,8350,8350,,,,,,,749.0
Bethune-Cookman University,Florida,FL,Private,4 Year,9412.0,14814,24226,14814,24226,,,,,,,10214.0
Beulah Heights University,Georgia,GA,Private,4 Year,6000.0,9880,15880,9880,15880,,,,,,,1635.0
Beverly Hills Design Institute,California,CA,Private,4 Year,,31060,31060,31060,31060,,,,,,,
Bevill State Community College,Alabama,AL,Public,2 Year,1300.0,4770,6070,8640,9940,,,,,,,6486.0
Big Bend Community College,Washington,WA,Public,2 Year,3537.0,4272,7809,9703,13240,,,,,,,3865.0
Big Sandy Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000,,,,,,,6982.0
Biola University,California,CA,Private,4 Year,10730.0,40488,51218,40488,51218,,,,,,,12538.0
Birmingham-Southern College,Alabama,AL,Private,4 Year,12350.0,17650,30000,17650,30000,,,,,,,1968.0
Bishop State Community College,Alabama,AL,Public,2 Year,,4740,4740,8610,8610,,,,,,,7595.0
Bismarck State College,North Dakota,ND,Public,2 Year,7794.0,4790,12584,6785,14579,,,,,,,6120.0
Black Hawk College,Illinois,IL,Public,2 Year,,4470,4470,7650,7650,,,,,,,11950.0
Black Hills State University,South Dakota,SD,Public,4 Year,6978.0,8733,15711,11778,18756,10.0,South-Dakota,40400.0,72600.0,51.0,11.0,7941.0
Black River Technical College,Arkansas,AR,Public,2 Year,,3660,3660,6510,6510,,,,,,,3334.0
Blackburn College,Illinois,IL,Private,4 Year,7930.0,22410,30340,22410,30340,,,,,,,1002.0
Blackfeet Community College,Montana,MT,Public,2 Year,6787.0,3590,10377,3590,10377,,,,,,,1264.0
Blackhawk Technical College,Wisconsin,WI,Public,2 Year,,4340,4340,6623,6623,,,,,,,4501.0
Bladen Community College,North Carolina,NC,Public,2 Year,,2528,2528,8672,8672,,,,,,,3011.0
Blessing-Rieman College of Nursing & Health Sciences,Illinois,IL,Private,4 Year,,25250,25250,25250,25250,,,,,,,
Blinn College,Texas,TX,Public,2 Year,8103.0,3540,11643,10050,18153,,,,,,,35054.0
Bloomfield College,New Jersey,NJ,Private,4 Year,11950.0,29550,41500,29550,41500,23.0,New-Jersey,48400.0,89100.0,55.0,17.0,4897.0
Bloomsburg University of Pennsylvania,Pennsylvania,PA,Public,4 Year,9686.0,10958,20644,22532,32218,,,,,,,17357.0
Blue Mountain College,Mississippi,MS,Private,4 Year,6294.0,12584,18878,12584,18878,,,,,,,948.0
Blue Mountain Community College,Oregon,OR,Public,2 Year,,6188,6188,15908,15908,,,,,,,3258.0
Blue Ridge Community and Technical College,West Virginia,WV,Public,2 Year,,4128,4128,7464,7464,,,,,,,9958.0
Blue Ridge Community College,North Carolina,NC,Public,2 Year,,2365,2365,8125,8125,,,,,,,
Blue Ridge Community College,Virginia,VA,Public,2 Year,,5364,5364,11292,11292,,,,,,,
Bluefield College,Virginia,VA,Private,4 Year,9024.0,25290,34314,25290,34314,,,,,,,1763.0
Bluefield State College,West Virginia,WV,Public,4 Year,,8820,8820,16920,16920,15.0,West-Virginia,43200.0,72800.0,60.0,3.0,2728.0
Bluegrass Community and Technical College,Kentucky,KY,Public,2 Year,,5310,5310,18000,18000,,,,,,,19657.0
Bluffton University,Ohio,OH,Private,4 Year,10800.0,32766,43566,32766,43566,,,,,,,1768.0
Bob Jones University,South Carolina,SC,Private,4 Year,6976.0,18150,25126,18150,25126,,,,,,,5204.0
Boise Bible College,Idaho,ID,Private,4 Year,6200.0,12520,18720,12520,18720,,,,,,,279.0
Boise State University,Idaho,ID,Public,4 Year,10692.0,7694,18386,23776,34468,4.0,Idaho,50100.0,86400.0,55.0,14.0,38189.0
Bolivar Technical College,Missouri,MO,Private,2 Year,,18292,18292,18292,18292,,,,,,,
Boricua College,New York,NY,Private,4 Year,,11025,11025,11025,11025,,,,,,,3169.0
Bossier Parish Community College,Louisiana,LA,Public,2 Year,,4283,4283,8960,8960,,,,,,,18619.0
Boston Architectural College,Massachusetts,MA,Private,4 Year,13280.0,21894,35174,21894,35174,,,,,,,1483.0
Boston Baptist College,Massachusetts,MA,Private,4 Year,7810.0,12600,20410,12600,20410,,,,,,,146.0
Boston College,Massachusetts,MA,Private,4 Year,14478.0,55464,69942,55464,69942,11.0,Massachusetts,63600.0,115400.0,43.0,13.0,25473.0
Boston Conservatory at Berklee,Massachusetts,MA,Private,4 Year,18360.0,46020,64380,46020,64380,,,,,,,
